ticker,exchange,sector,country,market_cap,tipo_T,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at
HOLN.SW,EBS,Basic Materials,Switzerland,40035192832,T1,SMA50W (70.15) > SMA200W (69.35); spot (72.14) > SMA200W,72.13999938964844,69.84833853730123,71.8850159243687,70.86667723083497,0.017650709309490007,7,11,POLARIDAD | GAP | SMA200W | AVWAP_52w_high | POLARIDAD | FIB_786 | HVN | FIB_618 | POLARIDAD | EMA200D | AVWAP_pivot_low,True,50.190247945152024,50.27381811810175,bajando_negativo,0,True,63.49206349206349,79.26619,0.09878279277299407,2.2381,0.47619047619047616,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T23:33:47.583496
HON,NMS,Industrials,United States,141811564544,T1,SMA50W (212.10) > SMA200W (196.20); spot (217.39) > SMA200W,217.38999938964844,210.0047705919609,214.8564485852852,212.43060958862304,0.022813330028748087,7,10,POLARIDAD | POLARIDAD | FIB_786 | HVN | GAP | FIB_618 | AVWAP_pivot_low | AVWAP_earnings | EMA200D | POLARIDAD,True,48.02797094025038,49.07483922173545,subiendo_positivo,3,True,71.03174603174604,247.6188,0.1390533175179307,2.0,0.5769230769230769,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T23:33:47.303379
METSO.HE,HEL,Industrials,Finland,12628730880,T1,SMA50W (13.80) > SMA200W (10.66); spot (15.38) > SMA200W,15.380000114440918,14.341835867799821,14.848164666257796,14.595000267028809,0.051040301792653474,7,9,EMA200D | HVN | FIB_786 | POLARIDAD | GAP | POLARIDAD | FIB_618 | POLARIDAD | AVWAP_pivot_low,True,52.802786272362326,52.53242590966868,subiendo_positivo,1,True,76.19047619047619,16.92632,0.10054095409968022,,0.5789473684210527,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T23:34:10.210041
APP,NMS,Communication Services,United States,163229663232,T1,SMA50W (502.03) > SMA200W (204.94); spot (482.28) > SMA200W,482.2799987792969,458.6251779862872,488.07483422074404,473.3500061035156,0.018516199507307027,6,8,FIB_786 | FIB_618 | HVN | POLARIDAD | POLARIDAD | AVWAP_pivot_low | EMA200D | AVWAP_earnings,True,53.565443808543,50.09755035503079,bajando_negativo,0,True,57.14285714285714,644.4667,0.336291576742173,1.46875,0.875,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T23:33:38.687155
NDAQ,NMS,Financial Services,United States,51130544128,T1,SMA50W (90.23) > SMA200W (69.86); spot (90.01) > SMA200W,90.01000213623047,86.9991492276737,89.18941607665464,88.09428265216417,0.021283406717031876,6,10,POLARIDAD | POLARIDAD | AVWAP_52w_high | FIB_786 | HVN | EMA200D | FIB_618 | POLARIDAD | AVWAP_pivot_low | AVWAP_earnings,True,52.0057776850714,51.571551702599365,subiendo_positivo,1,True,46.03174603174603,106.46667,0.18283154619708042,1.70588,0.8235294117647058,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T23:33:49.495130
IAG.L,LSE,Industrials,United Kingdom,17434177536,T1,SMA50W (387.45) > SMA200W (234.68); spot (397.80) > SMA200W,397.79998779296875,380.45119512890307,396.64881097461256,388.5500030517578,0.023252853255553655,6,10,AVWAP_52w_high | EMA200D | FIB_618 | HVN | POLARIDAD | POLARIDAD | AVWAP_pivot_low | POLARIDAD | AVWAP_earnings | POLARIDAD,True,55.21404313519142,52.64483229438857,subiendo_positivo,1,True,79.36507936507937,486.03577,0.22180941406401633,1.625,0.875,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T23:33:47.316291
APO,NYQ,Financial Services,United States,75466137600,T1,SMA50W (131.63) > SMA200W (108.23); spot (132.24) > SMA200W,132.24000549316406,126.95591412300789,131.2040150348984,129.07996457895314,0.023896255164434922,6,10,HVN | FIB_618 | AVWAP_52w_high | POLARIDAD | EMA200D | POLARIDAD | POLARIDAD | AVWAP_pivot_low | AVWAP_earnings | HVN,True,59.34015868864756,54.639355270613294,bajando_negativo,0,True,44.84126984126984,149.58824,0.1311874908212458,1.8,0.7,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T23:33:38.683979
ACGL,NMS,Financial Services,Bermuda,33586821120,T1,SMA50W (92.77) > SMA200W (84.34); spot (96.84) > SMA200W,96.83999633789062,93.34797915859329,95.32621917514695,94.33709916687012,0.025845696671522873,6,11,POLARIDAD | FIB_786 | POLARIDAD | HVN | EMA200D | FIB_618 | POLARIDAD | AVWAP_earnings | POLARIDAD | AVWAP_pivot_low | POLARIDAD,True,57.461201697343796,54.25443102665142,subiendo_positivo,1,True,55.158730158730165,108.92105,0.12475272737471599,2.25,0.5,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T23:33:37.770516
AZN.L,LSE,Healthcare,United Kingdom,217211781120,T1,SMA50W (12977.48) > SMA200W (11564.48); spot (13950.00) > SMA200W,13950.0,13299.215168380035,13798.655981431979,13548.935574906007,0.028750137999569398,6,7,FIB_786 | EMA200D | FIB_618 | AVWAP_pivot_low | AVWAP_earnings | HVN | POLARIDAD,True,49.56426557593487,50.70228353811586,subiendo_positivo,2,True,57.936507936507944,16495.914,0.1825027956989247,1.58333,0.8333333333333334,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T23:33:40.318211
CARR,NYQ,Industrials,United States,51645489152,T1,SMA50W (61.94) > SMA200W (57.74); spot (63.59) > SMA200W,63.59000015258789,59.86839454203287,62.174221536480495,61.02130803925668,0.04039459202968209,6,8,AVWAP_52w_high | FIB_786 | POLARIDAD | POLARIDAD | EMA200D | HVN | FIB_618 | POLARIDAD,True,49.874722570425675,53.93931261384617,bajando_negativo,0,True,85.31746031746032,75.68609,0.19022000028914654,2.0,0.5384615384615384,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T23:33:42.865959
